id,name,nameHe,startDate,endDate,description,descriptionHe
book-genesis,Genesis,בראשית,1 Tishrei 1,1 Tishrei 2309,Period covered by the Book of Genesis – Creation to the death of Joseph,תקופת ספר בראשית – מבריאת העולם עד מות יוסף
book-exodus,Exodus,שמות,1 Tishrei 2332,1 Nisan 2449,Period covered by the Book of Exodus – Enslavement through the Tabernacle,תקופת ספר שמות – משעבוד מצרים עד הקמת המשכן
book-leviticus,Leviticus,ויקרא,1 Nisan 2449,1 Nisan 2449,The Book of Leviticus – Laws given at Sinai,ספר ויקרא – חוקים שניתנו בסיני
book-numbers,Numbers,במדבר,1 Iyar 2449,1 Shvat 2488,Period covered by the Book of Numbers – Wilderness wanderings,תקופת ספר במדבר – נדודי המדבר
book-deuteronomy,Deuteronomy,דברים,1 Shvat 2488,7 Adar 2488,Period covered by the Book of Deuteronomy – Moses' final speeches,תקופת ספר דברים – נאומי משה האחרונים
book-joshua,Joshua,יהושע,1 Tishrei 2488,1 Tishrei 2516,Period covered by the Book of Joshua – Conquest and settlement of the Land,תקופת ספר יהושע – כיבוש והתנחלות בארץ
book-judges,Judges,שופטים,1 Tishrei 2516,1 Tishrei 2871,Period covered by the Book of Judges,תקופת ספר שופטים
book-samuel,Samuel,שמואל,1 Tishrei 2871,1 Tishrei 2924,Period covered by the Books of Samuel,תקופת ספרי שמואל
book-kings,Kings,מלכים,1 Tishrei 2924,9 Av 3338,Period covered by the Books of Kings,תקופת ספרי מלכים
